Notes,State,State Code,Year of Death,Year of Death Code,Age of Mother,Age of Mother Code,Deaths,Births,Death Rate
,Alabama,1,2007,2007,15-19 years,15-19,116,8696,13.34
,Alabama,1,2007,2007,20-24 years,20-24,214,20228,10.58
,Alabama,1,2007,2007,25-29 years,25-29,161,18434,8.73
,Alabama,1,2007,2007,30-34 years,30-34,99,11356,8.72
,Alabama,1,2007,2007,35-39 years,35-39,40,4998,8
,Alabama,1,2007,2007,40-44 years,40-44,10,919,10.88
,Alabama,1,2008,2008,15-19 years,15-19,99,8559,11.57
,Alabama,1,2008,2008,20-24 years,20-24,209,19980,10.46
,Alabama,1,2008,2008,25-29 years,25-29,143,18603,7.69
,Alabama,1,2008,2008,30-34 years,30-34,95,11422,8.32
,Alabama,1,2008,2008,35-39 years,35-39,54,4906,11.01
,Alabama,1,2009,2009,15-19 years,15-19,106,8205,12.92
,Alabama,1,2009,2009,20-24 years,20-24,159,18918,8.4
,Alabama,1,2009,2009,25-29 years,25-29,136,18086,7.52
,Alabama,1,2009,2009,30-34 years,30-34,66,11571,5.7
,Alabama,1,2009,2009,35-39 years,35-39,43,4598,9.35
,Alabama,1,2010,2010,15-19 years,15-19,59,7343,8.03
,Alabama,1,2010,2010,20-24 years,20-24,165,17745,9.3
,Alabama,1,2010,2010,25-29 years,25-29,157,17683,8.88
,Alabama,1,2010,2010,30-34 years,30-34,93,11578,8.03
,Alabama,1,2010,2010,35-39 years,35-39,41,4590,8.93
,Alabama,1,2011,2011,15-19 years,15-19,66,6609,9.99
,Alabama,1,2011,2011,20-24 years,20-24,159,17591,9.04
,Alabama,1,2011,2011,25-29 years,25-29,127,17498,7.26
,Alabama,1,2011,2011,30-34 years,30-34,82,11949,6.86
,Alabama,1,2011,2011,35-39 years,35-39,46,4600,10
,Alabama,1,2012,2012,15-19 years,15-19,71,6195,11.46
,Alabama,1,2012,2012,20-24 years,20-24,152,17100,8.89
,Alabama,1,2012,2012,25-29 years,25-29,148,17347,8.53
,Alabama,1,2012,2012,30-34 years,30-34,95,12211,7.78
,Alabama,1,2012,2012,35-39 years,35-39,42,4574,9.18
,Alabama,1,2012,2012,40-44 years,40-44,11,885,12.43
,Alabama,1,2013,2013,15-19 years,15-19,69,5392,12.8
,Alabama,1,2013,2013,20-24 years,20-24,155,17322,8.95
,Alabama,1,2013,2013,25-29 years,25-29,132,17480,7.55
,Alabama,1,2013,2013,30-34 years,30-34,105,12325,8.52
,Alabama,1,2013,2013,35-39 years,35-39,31,4631,6.69
,Alabama,1,2014,2014,15-19 years,15-19,64,5009,12.78
,Alabama,1,2014,2014,20-24 years,20-24,178,17092,10.41
,Alabama,1,2014,2014,25-29 years,25-29,127,18141,7
,Alabama,1,2014,2014,30-34 years,30-34,109,13176,8.27
,Alabama,1,2014,2014,35-39 years,35-39,26,4980,5.22
,Alaska,2,2007,2007,15-19 years,15-19,11,1117,9.85
,Alaska,2,2007,2007,20-24 years,20-24,29,3316,8.75
,Alaska,2,2007,2007,25-29 years,25-29,11,3184,3.45
,Alaska,2,2007,2007,30-34 years,30-34,12,2089,5.74
,Alaska,2,2008,2008,20-24 years,20-24,24,3350,7.16
,Alaska,2,2008,2008,25-29 years,25-29,21,3388,6.2
,Alaska,2,2009,2009,20-24 years,20-24,30,3146,9.54
,Alaska,2,2009,2009,25-29 years,25-29,20,3410,5.87
,Alaska,2,2009,2009,35-39 years,35-39,10,1123,8.9
,Alaska,2,2010,2010,20-24 years,20-24,13,3309,3.93
,Alaska,2,2010,2010,25-29 years,25-29,12,3447,3.48
,Alaska,2,2011,2011,20-24 years,20-24,12,3252,3.69
,Alaska,2,2011,2011,25-29 years,25-29,14,3462,4.04
,Alaska,2,2011,2011,30-34 years,30-34,12,2460,4.88
,Alaska,2,2012,2012,20-24 years,20-24,20,2977,6.72
,Alaska,2,2012,2012,25-29 years,25-29,14,3380,4.14
,Alaska,2,2012,2012,30-34 years,30-34,13,2572,5.05
,Alaska,2,2013,2013,20-24 years,20-24,19,2997,6.34
,Alaska,2,2013,2013,25-29 years,25-29,21,3547,5.92
,Alaska,2,2013,2013,30-34 years,30-34,12,2712,4.42
,Alaska,2,2014,2014,20-24 years,20-24,23,2980,7.72
,Alaska,2,2014,2014,25-29 years,25-29,16,3536,4.52
,Alaska,2,2014,2014,30-34 years,30-34,25,2844,8.79
,Arizona,4,2007,2007,15-19 years,15-19,116,12868,9.01
,Arizona,4,2007,2007,20-24 years,20-24,204,27875,7.32
,Arizona,4,2007,2007,25-29 years,25-29,173,28833,6
,Arizona,4,2007,2007,30-34 years,30-34,121,21037,5.75
,Arizona,4,2007,2007,35-39 years,35-39,66,9968,6.62
,Arizona,4,2007,2007,40-44 years,40-44,22,2079,10.58
,Arizona,4,2008,2008,15-19 years,15-19,98,12051,8.13
,Arizona,4,2008,2008,20-24 years,20-24,166,26240,6.33
,Arizona,4,2008,2008,25-29 years,25-29,166,28207,5.89
,Arizona,4,2008,2008,30-34 years,30-34,116,20662,5.61
,Arizona,4,2008,2008,35-39 years,35-39,65,10016,6.49
,Arizona,4,2008,2008,40-44 years,40-44,20,1979,10.11
,Arizona,4,2009,2009,15-19 years,15-19,73,10874,6.71
,Arizona,4,2009,2009,20-24 years,20-24,151,23972,6.3
,Arizona,4,2009,2009,25-29 years,25-29,156,26507,5.89
,Arizona,4,2009,2009,30-34 years,30-34,103,19761,5.21
,Arizona,4,2009,2009,35-39 years,35-39,48,9414,5.1
,Arizona,4,2009,2009,40-44 years,40-44,18,1982,9.08
,Arizona,4,2010,2010,15-19 years,15-19,72,9389,7.67
,Arizona,4,2010,2010,20-24 years,20-24,158,22371,7.06
,Arizona,4,2010,2010,25-29 years,25-29,130,25027,5.19
,Arizona,4,2010,2010,30-34 years,30-34,96,19391,4.95
,Arizona,4,2010,2010,35-39 years,35-39,47,9119,5.15
,Arizona,4,2010,2010,40-44 years,40-44,16,1926,8.31
,Arizona,4,2011,2011,15-19 years,15-19,73,8402,8.69
,Arizona,4,2011,2011,20-24 years,20-24,141,21898,6.44
,Arizona,4,2011,2011,25-29 years,25-29,140,24377,5.74
,Arizona,4,2011,2011,30-34 years,30-34,87,19431,4.48
,Arizona,4,2011,2011,35-39 years,35-39,49,9150,5.36
,Arizona,4,2011,2011,40-44 years,40-44,21,2062,10.18
,Arizona,4,2012,2012,15-19 years,15-19,57,8119,7.02
,Arizona,4,2012,2012,20-24 years,20-24,142,21833,6.5
,Arizona,4,2012,2012,25-29 years,25-29,116,24745,4.69
,Arizona,4,2012,2012,30-34 years,30-34,116,20131,5.76
,Arizona,4,2012,2012,35-39 years,35-39,49,9289,5.28
,Arizona,4,2012,2012,40-44 years,40-44,18,2143,8.4
,Arizona,4,2013,2013,15-19 years,15-19,55,7232,7.61
,Arizona,4,2013,2013,20-24 years,20-24,128,21699,5.9
,Arizona,4,2013,2013,25-29 years,25-29,125,24872,5.03
,Arizona,4,2013,2013,30-34 years,30-34,78,20081,3.88
,Arizona,4,2013,2013,35-39 years,35-39,42,9433,4.45
,Arizona,4,2013,2013,40-44 years,40-44,20,2066,9.68
,Arizona,4,2014,2014,15-19 years,15-19,59,6622,8.91
,Arizona,4,2014,2014,20-24 years,20-24,143,21459,6.66
,Arizona,4,2014,2014,25-29 years,25-29,142,25164,5.64
,Arizona,4,2014,2014,30-34 years,30-34,102,21271,4.8
,Arizona,4,2014,2014,35-39 years,35-39,62,10089,6.15
,Arizona,4,2014,2014,40-44 years,40-44,22,2098,10.49
,Arkansas,5,2007,2007,15-19 years,15-19,76,5926,12.82
,Arkansas,5,2007,2007,20-24 years,20-24,104,13960,7.45
,Arkansas,5,2007,2007,25-29 years,25-29,77,11715,6.57
,Arkansas,5,2007,2007,30-34 years,30-34,38,6369,5.97
,Arkansas,5,2007,2007,35-39 years,35-39,24,2753,8.72
,Arkansas,5,2008,2008,15-19 years,15-19,60,5940,10.1
,Arkansas,5,2008,2008,20-24 years,20-24,111,13392,8.29
,Arkansas,5,2008,2008,25-29 years,25-29,75,11497,6.52
,Arkansas,5,2008,2008,30-34 years,30-34,39,6570,5.94
,Arkansas,5,2008,2008,35-39 years,35-39,11,2658,4.14
,Arkansas,5,2009,2009,15-19 years,15-19,53,5753,9.21
,Arkansas,5,2009,2009,20-24 years,20-24,125,12979,9.63
,Arkansas,5,2009,2009,25-29 years,25-29,65,11410,5.7
,Arkansas,5,2009,2009,30-34 years,30-34,31,6582,4.71
,Arkansas,5,2009,2009,35-39 years,35-39,21,2529,8.3
,Arkansas,5,2010,2010,15-19 years,15-19,47,5229,8.99
,Arkansas,5,2010,2010,20-24 years,20-24,95,12259,7.75
,Arkansas,5,2010,2010,25-29 years,25-29,69,11090,6.22
,Arkansas,5,2010,2010,30-34 years,30-34,39,6778,5.75
,Arkansas,5,2010,2010,35-39 years,35-39,22,2602,8.46
,Arkansas,5,2011,2011,15-19 years,15-19,42,4845,8.67
,Arkansas,5,2011,2011,20-24 years,20-24,94,12214,7.7
,Arkansas,5,2011,2011,25-29 years,25-29,77,11338,6.79
,Arkansas,5,2011,2011,30-34 years,30-34,45,7105,6.33
,Arkansas,5,2011,2011,35-39 years,35-39,19,2595,7.32
,Arkansas,5,2012,2012,15-19 years,15-19,34,4349,7.82
,Arkansas,5,2012,2012,20-24 years,20-24,90,12136,7.42
,Arkansas,5,2012,2012,25-29 years,25-29,70,11104,6.3
,Arkansas,5,2012,2012,30-34 years,30-34,48,7386,6.5
,Arkansas,5,2012,2012,35-39 years,35-39,23,2776,8.29
