Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI
2015,2015 Annual Edition,Air Pollution,Alabama,34,9.5,0,,
2015,2015 Annual Edition,Air Pollution,Alaska,4,6,-2,,
2015,2015 Annual Edition,Air Pollution,Arizona,37,9.7,0.12,,
2015,2015 Annual Edition,Air Pollution,Arkansas,37,9.7,0.12,,
2015,2015 Annual Edition,Air Pollution,California,50,12.5,1.78,,
2015,2015 Annual Edition,Air Pollution,Colorado,9,7,-1.49,,
2015,2015 Annual Edition,Air Pollution,Connecticut,24,8.8,-0.42,,
2015,2015 Annual Edition,Air Pollution,Delaware,37,9.7,0.12,,
2015,2015 Annual Edition,Air Pollution,Florida,10,7.2,-1.37,,
2015,2015 Annual Edition,Air Pollution,Georgia,41,9.8,0.18,,
2015,2015 Annual Edition,Air Pollution,Hawaii,14,7.6,-1.13,,
2015,2015 Annual Edition,Air Pollution,Idaho,49,11.7,1.31,,
2015,2015 Annual Edition,Air Pollution,Illinois,46,11.1,0.95,,
2015,2015 Annual Edition,Air Pollution,Indiana,47,11.3,1.07,,
2015,2015 Annual Edition,Air Pollution,Iowa,32,9.3,-0.12,,
2015,2015 Annual Edition,Air Pollution,Kansas,21,8.6,-0.54,,
2015,2015 Annual Edition,Air Pollution,Kentucky,44,10.1,0.36,,
2015,2015 Annual Edition,Air Pollution,Louisiana,21,8.6,-0.54,,
2015,2015 Annual Edition,Air Pollution,Maine,13,7.4,-1.25,,
2015,2015 Annual Edition,Air Pollution,Maryland,36,9.6,0.06,,
2015,2015 Annual Edition,Air Pollution,Massachusetts,10,7.2,-1.37,,
2015,2015 Annual Edition,Air Pollution,Michigan,24,8.8,-0.42,,
2015,2015 Annual Edition,Air Pollution,Minnesota,17,8,-0.89,,
2015,2015 Annual Edition,Air Pollution,Mississippi,27,8.9,-0.36,,
2015,2015 Annual Edition,Air Pollution,Missouri,37,9.7,0.12,,
2015,2015 Annual Edition,Air Pollution,Montana,3,5.7,-2,,
2015,2015 Annual Edition,Air Pollution,Nebraska,15,7.8,-1.01,,
2015,2015 Annual Edition,Air Pollution,Nevada,43,10,0.3,,
2015,2015 Annual Edition,Air Pollution,New Hampshire,10,7.2,-1.37,,
2015,2015 Annual Edition,Air Pollution,New Jersey,24,8.8,-0.42,,
